country_name,year,UMAP1,UMAP2,region
Lesotho,1975,1.371401325229629,-1.36128666862751,Sub-Saharan Africa
Lesotho,1985,1.320982888702377,-1.3295331285884475,Sub-Saharan Africa
Lesotho,1995,-0.06503526830293305,1.2667913077781106,Sub-Saharan Africa
Lesotho,2005,-0.35082773828126557,1.4337861104319,Sub-Saharan Africa
Lesotho,2015,-0.3907838311157382,1.4447001977274323,Sub-Saharan Africa
Lesotho,2025,-0.5704560723266757,1.5595898343632126,Sub-Saharan Africa
Liberia,1975,2.264400676254257,-1.4882509993007278,Sub-Saharan Africa
Liberia,1985,2.2982030663528286,-1.2834391878535842,Sub-Saharan Africa
Liberia,1995,2.690505102638229,-0.1972675608089065,Sub-Saharan Africa
Liberia,2005,1.3446950767078243,1.7718730284283066,Sub-Saharan Africa
Liberia,2015,1.269374743465408,1.952177138478508,Sub-Saharan Africa
Liberia,2025,1.3506593856849514,1.866248936803093,Sub-Saharan Africa
Malawi,1975,1.3325776312389217,-3.9684775160243606,Sub-Saharan Africa
Malawi,1985,1.265455738071426,-3.8832509802272415,Sub-Saharan Africa
Malawi,1995,0.4460703883209073,1.590399326236,Sub-Saharan Africa
Malawi,2005,0.38215144014738434,1.5591110004494095,Sub-Saharan Africa
Malawi,2015,0.4572647962608182,1.6997913433620835,Sub-Saharan Africa
Malawi,2025,0.4972795698680722,1.720100493581047,Sub-Saharan Africa
Maldives,1975,1.438845172885879,-3.3849346922328567,East Asia & Pacific
Maldives,1985,1.4724856171645961,-3.3383906172206497,East Asia & Pacific
Maldives,1995,1.4801989350356899,-3.249169616549263,East Asia & Pacific
Maldives,2005,1.4269317541160427,-1.5668683336665725,East Asia & Pacific
Maldives,2015,1.2904537770786129,-0.09137299522663112,East Asia & Pacific
Maldives,2025,0.1293596777953946,1.810658664853325,East Asia & Pacific
Mongolia,1975,3.3001689467468105,-5.7259695814540486,E. Europe & Central Asia
Mongolia,1985,3.2627961192169033,-5.726407317965279,E. Europe & Central Asia
Mongolia,1995,-1.7648289647064366,1.3432669056961442,E. Europe & Central Asia
Mongolia,2005,-1.7925413098297276,1.3599832816431427,E. Europe & Central Asia
Mongolia,2015,-1.8814433064422764,1.282094137222519,E. Europe & Central Asia
Mongolia,2025,-1.4608059372863926,1.315706522614708,E. Europe & Central Asia
Morocco,1975,0.7912106070556485,-1.5426447676112747,Middle East & N. Africa
Morocco,1985,0.7507193837203824,-1.522903232424507,Middle East & N. Africa
Morocco,1995,0.587798074249252,-1.653717784731636,Middle East & N. Africa
Morocco,2005,0.5167323503532254,-1.3415589617183303,Middle East & N. Africa
Morocco,2015,0.608241394523605,-1.0406539724757766,Middle East & N. Africa
Morocco,2025,0.5043127093353116,-1.1527173803737258,Middle East & N. Africa
Netherlands,1975,-6.763142153259293,2.4858745051929856,W. Europe & N. America
Netherlands,1985,-6.750886961456314,2.516564221532097,W. Europe & N. America
Netherlands,1995,-6.759656950469986,2.344997854382744,W. Europe & N. America
Netherlands,2005,-6.701539560791031,2.473420829922905,W. Europe & N. America
