"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Romania",4.88050549136542,1.65780529831184,2.11964968950275,0.929136447207144,2.81230486304435,69.3,63.7,79.9,68.7,90.5
"Sao Tome and Principe",4.46557173114787,-1.12964243286564,-4.82805864188435,-1.59716209877684,2.26803672570695,65.9,35.2,3.9,28.5,84.9
"Saudi Arabia",-14.921201589834,-7.91286571801425,-3.68085010065133,1.53777421991546,-3.29820803321926,6.7,3.4,8.9,77.1,6.7
"Serbia",-0.590902929953451,4.0115409410748,4.31193651961408,0.145912552031158,0.283819420283868,44.7,89.4,93.3,58.1,54.2
"Seychelles",9.51967293078942,-3.25146351051554,-2.75182647267298,-1.13382263578352,-1.85071616947609,82.1,16.8,16.2,41.3,23.5
"Singapore",3.23355677213634,-9.57820135754936,0.30014950361682,1.17776493869023,-1.21086219083665,59.2,2.2,55.3,72.1,31.3
"Slovakia",7.64143503520671,2.75669634659667,2.96383956033443,-0.556168289404269,2.94624921909314,77.7,76.5,88.3,48.6,92.2
"Slovenia",10.0308889938183,0.303669019950532,1.30974009460383,0.435916046940579,2.49291664430946,84.9,49.2,69.8,63.1,87.2
"Solomon Islands",4.22202852082369,1.48691992906313,-6.25093735381082,-0.306833294709374,2.93966455878888,64.8,61.5,1.7,53.6,91.6
"Vanuatu",5.16506253930459,-4.15080668609407,-4.51179564832861,1.23342059187597,7.2970606293387,70.4,11.7,6.1,73.7,100
"United Arab Emirates",-9.63166217638315,-11.0638284552494,-1.84294107908001,-1.53320367450396,-2.21418873241394,16.2,1.1,24.6,30.2,15.6
"Hungary",0.889304912570731,1.13441852549266,5.69464118607059,-0.861887830184676,1.91005981764687,48.6,58.1,98.9,45.8,81
"Zanzibar",-3.00426650193796,-0.679955550715153,-2.22582029796348,0.371970893870279,-2.38163014060809,37.4,40.2,20.7,61.5,13.4
